"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "XML", "JSON", "SCSS", "Vue", "comment", "blank", "total"
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_27_192656_create_productos_table.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 0, 10, 4, 48
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_221242_create_anuncios_table.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_222915_create_caracteristica_producto_table.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 10, 4, 42
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_222926_create_ordenes_table.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 10, 4, 40
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_223001_create_perfiles_pago_table.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_223023_create_tamanios_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_223042_create_tamanio_caracteristicas_table.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 10, 4, 43
"c:\xampp\htdocs\unlimited\database\migrations\2022_09_30_223102_create_tamanios_producto_table.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 10, 4, 43
"c:\xampp\htdocs\unlimited\database\migrations\2022_10_16_002030_create_registro_carritos_table.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 10, 5, 55
"c:\xampp\htdocs\unlimited\database\migrations\2022_10_24_121454_create_images_table.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\unlimited\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 11, 5, 25
"c:\xampp\htdocs\unlimited\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\unlimited\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\unlimited\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\unlimited\lang\en\validation.php", "PHP", 0, 136, 0, 0, 0, 0, 0, 0, 30, 9, 175
"c:\xampp\htdocs\unlimited\package-lock.json", "JSON", 0, 0, 0, 0, 0, 19827, 0, 0, 0, 1, 19828
"c:\xampp\htdocs\unlimited\package.json", "JSON", 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
"c:\xampp\htdocs\unlimited\phpunit.xml", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 2, 1, 32
"c:\xampp\htdocs\unlimited\public\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\xampp\htdocs\unlimited\public\images\vendor\blueimp-gallery\error.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\unlimited\public\images\vendor\blueimp-gallery\play-pause.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\unlimited\public\images\vendor\blueimp-gallery\video-play.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\unlimited\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\unlimited\public\js\app.js", "JavaScript", 49531, 0, 0, 0, 0, 0, 0, 0, 6883, 7975, 64389
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Administracion_vue.js", "JavaScript", 279, 0, 0, 0, 0, 0, 0, 0, 17, 38, 334
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Anuncios_vue.js", "JavaScript", 463, 0, 0, 0, 0, 0, 0, 0, 18, 37, 518
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Carrito_vue.js", "JavaScript", 443, 0, 0, 0, 0, 0, 0, 0, 56, 89, 588
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Catalogo_vue.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 17, 34, 266
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Categorias_vue.js", "JavaScript", 474, 0, 0, 0, 0, 0, 0, 0, 18, 37, 529
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Contacto_vue.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 11, 20, 137
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Home_vue.js", "JavaScript", 1339, 0, 0, 0, 0, 0, 0, 0, 139, 263, 1741
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Login_vue.js", "JavaScript", 231, 0, 0, 0, 0, 0, 0, 0, 17, 36, 284
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_MostrarProducto_vue.js", "JavaScript", 564, 0, 0, 0, 0, 0, 0, 0, 34, 83, 681
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Productos_vue.js", "JavaScript", 18961, 0, 0, 0, 0, 0, 0, 0, 12227, 2703, 33891
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_Register_vue.js", "JavaScript", 271, 0, 0, 0, 0, 0, 0, 0, 17, 33, 321
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_categoria_Crear_vue.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_categoria_Editar_vue.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
"c:\xampp\htdocs\unlimited\public\js\resources_js_components_categoria_Mostrar_vue.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 4, 8, 37
"c:\xampp\htdocs\unlimited\public\mix-manifest.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\unlimited\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\unlimited\resources\js\app.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 12, 47
"c:\xampp\htdocs\unlimited\resources\js\bootstrap.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 22, 9, 37
"c:\xampp\htdocs\unlimited\resources\js\components\Administracion.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 109, 0, 7, 116
"c:\xampp\htdocs\unlimited\resources\js\components\Anuncios.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 275, 2, 22, 299
"c:\xampp\htdocs\unlimited\resources\js\components\AnunciosComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 125, 1, 10, 136
"c:\xampp\htdocs\unlimited\resources\js\components\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\xampp\htdocs\unlimited\resources\js\components\Carrito.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 125, 9, 7, 141
"c:\xampp\htdocs\unlimited\resources\js\components\Catalogo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 251, 1, 17, 269
"c:\xampp\htdocs\unlimited\resources\js\components\Categorias.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 283, 2, 25, 310
"c:\xampp\htdocs\unlimited\resources\js\components\Contacto.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 44, 0, 2, 46
"c:\xampp\htdocs\unlimited\resources\js\components\ExampleComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"c:\xampp\htdocs\unlimited\resources\js\components\Footer.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\xampp\htdocs\unlimited\resources\js\components\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 83, 1, 4, 88
"c:\xampp\htdocs\unlimited\resources\js\components\Login.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 118, 0, 5, 123
"c:\xampp\htdocs\unlimited\resources\js\components\MostrarProducto.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 474, 9, 55, 538
"c:\xampp\htdocs\unlimited\resources\js\components\Nav.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 89, 0, 12, 101
"c:\xampp\htdocs\unlimited\resources\js\components\NuevosProductos.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 142, 3, 5, 150
"c:\xampp\htdocs\unlimited\resources\js\components\Productos.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 950, 29, 75, 1054
"c:\xampp\htdocs\unlimited\resources\js\components\ProductosPopulares.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 142, 3, 5, 150
"c:\xampp\htdocs\unlimited\resources\js\components\Register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 138, 0, 5, 143
"c:\xampp\htdocs\unlimited\resources\js\components\categoria\Crear.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\unlimited\resources\js\components\categoria\Editar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\unlimited\resources\js\components\categoria\Mostrar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\unlimited\resources\js\customBuefy.scss", "SCSS", 0, 0, 0, 0, 0, 0, 95, 0, 10, 12, 117
"c:\xampp\htdocs\unlimited\resources\js\routes.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"c:\xampp\htdocs\unlimited\resources\js\store.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\xampp\htdocs\unlimited\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 0, 2, 2, 8
